symptom1,symptom2,symptom3,symptom4,OTC Medicine
Runny nose,Acid reflux,Menstrual cramps,Diarrhea,Pseudoephedrine
Dry skin,Fever,Hangover,Insomnia,Diphenhydramine
Sinus pressure,Insomnia,Diarrhea,Common cold,Pseudoephedrine
Dry cough,Insomnia,Runny nose,Cough,Pseudoephedrine
Dry cough,Muscle pain,Insomnia,Headache,Aspirin
Allergic rash,Headache,Cough,Dizziness,Antihistamine (Benadryl)
Heartburn,Allergic rash,Runny nose,Muscle pain,Calamine lotion
Heartburn,Dizziness,Headache,Insomnia,Electrolyte solution (Pedialyte)
Common cold,Hay fever,Fever,Dizziness,Dimenhydrinate
Sinus pressure,Hangover,Nausea,Toothache,Electrolyte solution (Pedialyte)
Hangover,Muscle pain,Menstrual cramps,Headache,Ginger supplements
Hangover,Dizziness,Muscle pain,Diarrhea,Paracetamol
Muscle pain,Allergic rash,Headache,Diarrhea,Loperamide
Nausea,Dizziness,Diarrhea,Hangover,Ginger supplements
Cough,Dry cough,Common cold,Diarrhea,Honey
Dry skin,Headache,Dry cough,Insomnia,Melatonin
Insomnia,Fever,Acid reflux,Nausea,Diphenhydramine
Hangover,Fever,Toothache,Cough,Ginger supplements
Diarrhea,Dry cough,Allergic rash,Acid reflux,Proton Pump Inhibitor (Omeprazole)
Cough,Hay fever,Fever,Sinus pressure,Nasal spray (Flonase)
Heartburn,Dry skin,Menstrual cramps,Muscle pain,Heating pad
Allergic rash,Runny nose,Sinus pressure,Common cold,Guaifenesin
Common cold,Fever,Headache,Toothache,Guaifenesin
Dizziness,Sinus pressure,Heartburn,Fever,Antacid (Tums)
Sinus pressure,Dry cough,Toothache,Fever,Electrolyte solution (Pedialyte)
Muscle pain,Headache,Acid reflux,Toothache,Orajel
Dizziness,Hay fever,Runny nose,Common cold,Paracetamol
Headache,Muscle pain,Dry cough,Diarrhea,Aspirin
Hangover,Nausea,Hay fever,Sinus pressure,Antihistamine (Claritin)
Menstrual cramps,Cough,Dizziness,Runny nose,Nasal spray (Flonase)
Dizziness,Muscle pain,Hay fever,Common cold,Cold-EEZE
Dizziness,Sinus pressure,Hangover,Menstrual cramps,Ginger supplements
Sinus pressure,Hay fever,Headache,Heartburn,Pseudoephedrine
Dry skin,Headache,Insomnia,Allergic rash,Antihistamine (Claritin)
Allergic rash,Insomnia,Diarrhea,Acid reflux,Valerian root
Allergic rash,Nausea,Insomnia,Cough,Dimenhydrinate
Sinus pressure,Acid reflux,Muscle pain,Dry skin,Aloe vera gel
Hangover,Dry cough,Common cold,Dry skin,Ibuprofen
Headache,Toothache,Dizziness,Acid reflux,Ginger supplements
Hangover,Hay fever,Nausea,Muscle pain,Nasal spray (Flonase)
Sinus pressure,Nausea,Allergic rash,Muscle pain,Pseudoephedrine
Runny nose,Acid reflux,Nausea,Diarrhea,Loperamide
Insomnia,Headache,Dry skin,Muscle pain,Valerian root
Heartburn,Fever,Muscle pain,Cough,Antacid (Rolaids)
Fever,Toothache,Dry cough,Common cold,Cold-EEZE
Muscle pain,Hay fever,Headache,Toothache,Paracetamol
Diarrhea,Insomnia,Runny nose,Hay fever,Diphenhydramine
Hay fever,Dry cough,Toothache,Cough,Aspirin
Toothache,Hay fever,Diarrhea,Heartburn,Loperamide
Hay fever,Sinus pressure,Dry cough,Nausea,Guaifenesin
Insomnia,Common cold,Heartburn,Menstrual cramps,Diphenhydramine
Heartburn,Hangover,Sinus pressure,Allergic rash,Nasal spray (Flonase)
Hay fever,Muscle pain,Allergic rash,Hangover,Cold-EEZE
Acid reflux,Sinus pressure,Hangover,Dry skin,Electrolyte solution (Pedialyte)
Dry skin,Acid reflux,Hangover,Insomnia,Moisturizing lotion
Acid reflux,Dry skin,Diarrhea,Headache,Paracetamol
Dry skin,Cough,Menstrual cramps,Headache,Petroleum jelly
Acid reflux,Muscle pain,Headache,Sinus pressure,Antacid (Tums)
Sinus pressure,Heartburn,Dizziness,Toothache,Pseudoephedrine
Diarrhea,Fever,Cough,Muscle pain,Loperamide
Hangover,Dizziness,Cough,Acid reflux,Paracetamol
Muscle pain,Cough,Diarrhea,Allergic rash,Paracetamol
Runny nose,Menstrual cramps,Diarrhea,Acid reflux,Heating pad
Hangover,Sinus pressure,Diarrhea,Fever,Pseudoephedrine
Cough,Hangover,Menstrual cramps,Runny nose,Heating pad
Cough,Dizziness,Hay fever,Common cold,Cold-EEZE
Hay fever,Dry cough,Nausea,Fever,Honey
Acid reflux,Runny nose,Diarrhea,Allergic rash,Electrolyte solution (Pedialyte)
Common cold,Diarrhea,Muscle pain,Nausea,Dimenhydrinate
Common cold,Nausea,Dizziness,Hay fever,Guaifenesin
Heartburn,Runny nose,Acid reflux,Toothache,Ibuprofen
Fever,Hangover,Dizziness,Muscle pain,Electrolyte solution (Pedialyte)
Dry skin,Runny nose,Heartburn,Menstrual cramps,Aloe vera gel
Heartburn,Cough,Menstrual cramps,Common cold,Heating pad
Hangover,Hay fever,Toothache,Acid reflux,Ginger supplements
Allergic rash,Toothache,Hay fever,Heartburn,Antihistamine (Claritin)
Hangover,Diarrhea,Dizziness,Heartburn,Bismuth subsalicylate
Acid reflux,Runny nose,Menstrual cramps,Toothache,Aspirin
Insomnia,Hay fever,Cough,Runny nose,Pseudoephedrine
Common cold,Insomnia,Runny nose,Hangover,Valerian root
Dry skin,Insomnia,Heartburn,Acid reflux,Melatonin
Heartburn,Fever,Sinus pressure,Insomnia,Antacid (Tums)
Insomnia,Toothache,Nausea,Allergic rash,Melatonin
Fever,Hangover,Hay fever,Dry cough,Antihistamine (Claritin)
Sinus pressure,Hay fever,Diarrhea,Muscle pain,Ibuprofen
Hay fever,Headache,Common cold,Nausea,Loperamide
Dry cough,Cough,Headache,Muscle pain,Aspirin
Toothache,Fever,Dry cough,Allergic rash,Calamine lotion
Allergic rash,Sinus pressure,Acid reflux,Hangover,Aspirin
Hay fever,Dizziness,Heartburn,Allergic rash,Loratadine
Toothache,Common cold,Hay fever,Cough,Antihistamine (Benadryl)
Hay fever,Insomnia,Menstrual cramps,Headache,Paracetamol
Allergic rash,Hay fever,Dry skin,Nausea,Ginger supplements
Allergic rash,Headache,Hay fever,Toothache,Antihistamine (Claritin)
Dry cough,Muscle pain,Hangover,Fever,Guaifenesin
Acid reflux,Allergic rash,Menstrual cramps,Cough,Calamine lotion
Dizziness,Cough,Muscle pain,Dry cough,Honey
Allergic rash,Nausea,Dry skin,Common cold,Dimenhydrinate
Hangover,Headache,Heartburn,Sinus pressure,Antacid (Rolaids)
Insomnia,Sinus pressure,Dizziness,Fever,Nasal spray (Flonase)
Hangover,Dry skin,Nausea,Runny nose,Loperamide
Muscle pain,Hangover,Nausea,Runny nose,Ibuprofen
Cough,Sinus pressure,Dizziness,Hay fever,Saline nasal spray
Dry skin,Dry cough,Sinus pressure,Heartburn,Honey
Dizziness,Allergic rash,Menstrual cramps,Heartburn,Antihistamine (Claritin)
Insomnia,Dizziness,Nausea,Acid reflux,Bismuth subsalicylate
Dizziness,Hay fever,Dry cough,Nausea,Loperamide
Cough,Fever,Acid reflux,Heartburn,Antacid (Rolaids)
Headache,Hay fever,Dry cough,Runny nose,Paracetamol
Muscle pain,Dry skin,Dry cough,Toothache,Ibuprofen
Acid reflux,Sinus pressure,Runny nose,Cough,Pseudoephedrine
Sinus pressure,Runny nose,Nausea,Cough,Dextromethorphan
Heartburn,Hay fever,Headache,Muscle pain,Loratadine
Dry cough,Heartburn,Dizziness,Nausea,Guaifenesin
Common cold,Acid reflux,Headache,Runny nose,Antacid (Rolaids)
Fever,Diarrhea,Dry skin,Common cold,Cold-EEZE
Toothache,Dry skin,Nausea,Dry cough,Aspirin
Hay fever,Headache,Dizziness,Allergic rash,Loratadine
Runny nose,Headache,Common cold,Dry cough,Guaifenesin
Muscle pain,Toothache,Fever,Allergic rash,Antihistamine (Claritin)
Runny nose,Fever,Muscle pain,Cough,Paracetamol
Hangover,Cough,Runny nose,Dizziness,Paracetamol
Hangover,Hay fever,Diarrhea,Fever,Loratadine
Insomnia,Nausea,Acid reflux,Dizziness,Ginger supplements
Toothache,Allergic rash,Hay fever,Dry skin,Nasal spray (Flonase)
Sinus pressure,Dry cough,Menstrual cramps,Acid reflux,Aspirin
Dry skin,Allergic rash,Dizziness,Runny nose,Cold-EEZE
Runny nose,Allergic rash,Diarrhea,Dizziness,Calamine lotion
Allergic rash,Insomnia,Common cold,Cough,Hydrocortisone cream
Toothache,Muscle pain,Dizziness,Headache,Ibuprofen
Hangover,Fever,Muscle pain,Acid reflux,Electrolyte solution (Pedialyte)
Nausea,Hay fever,Toothache,Insomnia,Aspirin
Diarrhea,Nausea,Common cold,Runny nose,Ginger supplements
Nausea,Hay fever,Cough,Muscle pain,Ginger supplements
Hay fever,Toothache,Menstrual cramps,Common cold,Antihistamine (Claritin)
Heartburn,Dizziness,Headache,Sinus pressure,Aspirin
Headache,Menstrual cramps,Heartburn,Diarrhea,Heating pad
Runny nose,Dry cough,Headache,Allergic rash,Antihistamine (Benadryl)
Dry skin,Toothache,Dizziness,Hangover,Ibuprofen
Heartburn,Hangover,Dry skin,Toothache,Proton Pump Inhibitor (Omeprazole)
Nausea,Sinus pressure,Allergic rash,Runny nose,Nasal spray (Flonase)
Dry cough,Acid reflux,Cough,Runny nose,Antacid (Rolaids)
Cough,Common cold,Hay fever,Muscle pain,Aspirin
Menstrual cramps,Nausea,Headache,Toothache,Orajel
Dizziness,Sinus pressure,Hay fever,Diarrhea,Antihistamine (Benadryl)
Dry cough,Allergic rash,Cough,Fever,Ibuprofen
Toothache,Hay fever,Insomnia,Hangover,Electrolyte solution (Pedialyte)
Common cold,Hangover,Heartburn,Dizziness,Cold-EEZE
Diarrhea,Headache,Common cold,Dry skin,Electrolyte solution (Pedialyte)
Insomnia,Fever,Cough,Hangover,Paracetamol
Runny nose,Insomnia,Cough,Allergic rash,Pseudoephedrine
Hangover,Menstrual cramps,Diarrhea,Muscle pain,Ibuprofen
Acid reflux,Hangover,Dry cough,Fever,Honey
Fever,Muscle pain,Toothache,Hay fever,Electrolyte solution (Pedialyte)
Dry cough,Hay fever,Acid reflux,Heartburn,Antacid (Rolaids)
Toothache,Common cold,Hangover,Insomnia,Cold-EEZE
Headache,Dry cough,Menstrual cramps,Fever,Electrolyte solution (Pedialyte)
Insomnia,Common cold,Runny nose,Cough,Pseudoephedrine
Sinus pressure,Menstrual cramps,Common cold,Cough,Ibuprofen
Toothache,Sinus pressure,Runny nose,Allergic rash,Nasal spray (Flonase)
Acid reflux,Heartburn,Fever,Insomnia,Lavender oil
Menstrual cramps,Hay fever,Dry cough,Hangover,Paracetamol
Allergic rash,Dry skin,Common cold,Hangover,Electrolyte solution (Pedialyte)
Common cold,Dizziness,Cough,Runny nose,Dextromethorphan
Fever,Hay fever,Dizziness,Sinus pressure,Antihistamine (Benadryl)
Acid reflux,Hay fever,Nausea,Heartburn,Proton Pump Inhibitor (Omeprazole)
Common cold,Muscle pain,Toothache,Hangover,Ginger supplements
Heartburn,Menstrual cramps,Insomnia,Hay fever,Ibuprofen
Toothache,Runny nose,Dry cough,Headache,Dextromethorphan
Headache,Dry skin,Diarrhea,Toothache,Aloe vera gel
Hangover,Heartburn,Headache,Fever,Electrolyte solution (Pedialyte)
Fever,Runny nose,Hay fever,Dizziness,Loratadine
Hay fever,Muscle pain,Cough,Dry cough,Antihistamine (Benadryl)
Sinus pressure,Hangover,Cough,Runny nose,Ginger supplements
Runny nose,Muscle pain,Heartburn,Common cold,Proton Pump Inhibitor (Omeprazole)
Common cold,Heartburn,Diarrhea,Acid reflux,Loperamide
Common cold,Hay fever,Toothache,Dry cough,Guaifenesin
Diarrhea,Dizziness,Muscle pain,Common cold,Ginkgo biloba
Allergic rash,Dry cough,Heartburn,Toothache,Antacid (Rolaids)
Dry skin,Sinus pressure,Insomnia,Allergic rash,Nasal spray (Flonase)
Runny nose,Common cold,Hangover,Menstrual cramps,Ibuprofen
Menstrual cramps,Sinus pressure,Hangover,Dizziness,Aspirin
Insomnia,Acid reflux,Dizziness,Menstrual cramps,Paracetamol
Cough,Allergic rash,Dry cough,Dry skin,Guaifenesin
Runny nose,Dry cough,Insomnia,Menstrual cramps,Aspirin
Diarrhea,Headache,Allergic rash,Common cold,Probiotic
Runny nose,Fever,Sinus pressure,Dizziness,Cold-EEZE
Toothache,Hangover,Fever,Menstrual cramps,Ibuprofen
Headache,Hay fever,Sinus pressure,Cough,Cold-EEZE
Hay fever,Insomnia,Common cold,Runny nose,Antihistamine (Benadryl)
Heartburn,Cough,Allergic rash,Fever,Cold-EEZE
Acid reflux,Common cold,Sinus pressure,Insomnia,Pseudoephedrine
Headache,Cough,Dizziness,Allergic rash,Electrolyte solution (Pedialyte)
Dry skin,Hangover,Acid reflux,Fever,Moisturizing lotion
Headache,Sinus pressure,Common cold,Toothache,Nasal spray (Flonase)
Runny nose,Common cold,Hay fever,Cough,Paracetamol
Allergic rash,Hay fever,Diarrhea,Sinus pressure,Nasal spray (Flonase)
Sinus pressure,Headache,Menstrual cramps,Diarrhea,Electrolyte solution (Pedialyte)
Hay fever,Menstrual cramps,Acid reflux,Runny nose,Antacid (Rolaids)
Hay fever,Heartburn,Menstrual cramps,Insomnia,Diphenhydramine
Dry skin,Common cold,Acid reflux,Sinus pressure,Antacid (Rolaids)
Dry cough,Fever,Headache,Allergic rash,Calamine lotion
Diarrhea,Toothache,Heartburn,Muscle pain,Electrolyte solution (Pedialyte)
Insomnia,Common cold,Allergic rash,Cough,Antihistamine (Claritin)
Sinus pressure,Runny nose,Acid reflux,Insomnia,Antacid (Tums)
Dry cough,Toothache,Nausea,Runny nose,Nasal spray (Flonase)
Menstrual cramps,Hangover,Heartburn,Fever,Ginger supplements
Cough,Diarrhea,Acid reflux,Common cold,Probiotic
Sinus pressure,Heartburn,Dry skin,Toothache,Hydrocortisone cream
Allergic rash,Hay fever,Headache,Nausea,Hydrocortisone cream
Dry cough,Dizziness,Fever,Common cold,Dextromethorphan
Toothache,Insomnia,Sinus pressure,Dry skin,Nasal spray (Flonase)
Toothache,Muscle pain,Common cold,Dry cough,Guaifenesin
Hangover,Allergic rash,Nausea,Cough,Dimenhydrinate
Headache,Dry cough,Common cold,Hangover,Ginger supplements
Hangover,Sinus pressure,Runny nose,Cough,Aspirin
Fever,Diarrhea,Sinus pressure,Allergic rash,Nasal spray (Flonase)
Common cold,Allergic rash,Nausea,Runny nose,Dimenhydrinate
Insomnia,Diarrhea,Headache,Nausea,Loperamide
Headache,Allergic rash,Nausea,Cough,Cold-EEZE
Heartburn,Headache,Cough,Toothache,Proton Pump Inhibitor (Omeprazole)
Runny nose,Hangover,Allergic rash,Dizziness,Calamine lotion
Hangover,Common cold,Dry skin,Dry cough,Dextromethorphan
Cough,Common cold,Toothache,Allergic rash,Guaifenesin
Fever,Hangover,Insomnia,Muscle pain,Diphenhydramine
Sinus pressure,Muscle pain,Heartburn,Acid reflux,Proton Pump Inhibitor (Omeprazole)
Sinus pressure,Allergic rash,Cough,Common cold,Pseudoephedrine
Headache,Dry skin,Common cold,Acid reflux,Cold-EEZE
Muscle pain,Insomnia,Hangover,Fever,Cold-EEZE
Dry cough,Dry skin,Heartburn,Diarrhea,Proton Pump Inhibitor (Omeprazole)
Diarrhea,Fever,Toothache,Hangover,Aspirin
Cough,Menstrual cramps,Diarrhea,Toothache,Paracetamol
Runny nose,Diarrhea,Fever,Allergic rash,Calamine lotion
Runny nose,Dry cough,Menstrual cramps,Hay fever,Ibuprofen
Acid reflux,Dizziness,Runny nose,Dry skin,Bismuth subsalicylate
Cough,Muscle pain,Diarrhea,Runny nose,Loperamide
Dry skin,Sinus pressure,Toothache,Dizziness,Saline nasal spray
Runny nose,Sinus pressure,Fever,Menstrual cramps,Loratadine
Common cold,Nausea,Hay fever,Dry skin,Aloe vera gel
Fever,Nausea,Acid reflux,Toothache,Paracetamol
Dizziness,Hay fever,Runny nose,Nausea,Ginkgo biloba
Headache,Diarrhea,Nausea,Acid reflux,Proton Pump Inhibitor (Omeprazole)
Cough,Headache,Dry skin,Insomnia,Ibuprofen
Fever,Common cold,Sinus pressure,Menstrual cramps,Nasal spray (Flonase)
Dry cough,Toothache,Dry skin,Diarrhea,Petroleum jelly
Dry cough,Fever,Insomnia,Muscle pain,Lavender oil
Common cold,Headache,Hangover,Dry skin,Ginger supplements
Hay fever,Fever,Dry skin,Cough,Moisturizing lotion
Insomnia,Muscle pain,Acid reflux,Nausea,Electrolyte solution (Pedialyte)
Headache,Runny nose,Common cold,Nausea,Nasal spray (Flonase)
Muscle pain,Insomnia,Sinus pressure,Common cold,Valerian root
Headache,Dizziness,Heartburn,Runny nose,Proton Pump Inhibitor (Omeprazole)
Common cold,Headache,Runny nose,Nausea,Loratadine
Cough,Hangover,Dizziness,Dry skin,Moisturizing lotion
Acid reflux,Headache,Common cold,Hangover,Bismuth subsalicylate
Dizziness,Diarrhea,Toothache,Acid reflux,Antacid (Tums)
Hangover,Dizziness,Toothache,Hay fever,Ibuprofen
Hangover,Diarrhea,Runny nose,Dry cough,Honey
Toothache,Diarrhea,Acid reflux,Insomnia,Antacid (Tums)
Heartburn,Acid reflux,Hangover,Allergic rash,Antihistamine (Claritin)
Fever,Dizziness,Sinus pressure,Toothache,Orajel
Diarrhea,Dry cough,Allergic rash,Muscle pain,Ibuprofen
Dizziness,Sinus pressure,Hangover,Hay fever,Pseudoephedrine
Acid reflux,Menstrual cramps,Heartburn,Hay fever,Antihistamine (Claritin)
Nausea,Sinus pressure,Insomnia,Dry skin,Loperamide
Toothache,Diarrhea,Insomnia,Muscle pain,Aspirin
Hangover,Dry cough,Hay fever,Allergic rash,Loratadine
Dry skin,Allergic rash,Hay fever,Heartburn,Proton Pump Inhibitor (Omeprazole)
Hay fever,Runny nose,Insomnia,Headache,Cold-EEZE
Insomnia,Dizziness,Headache,Toothache,Ibuprofen
Runny nose,Insomnia,Diarrhea,Dry cough,Probiotic
Cough,Diarrhea,Dry skin,Headache,Petroleum jelly
Sinus pressure,Insomnia,Dry skin,Dry cough,Diphenhydramine
Headache,Runny nose,Nausea,Allergic rash,Antihistamine (Claritin)
Toothache,Headache,Menstrual cramps,Hay fever,Antihistamine (Claritin)
Sinus pressure,Headache,Acid reflux,Dry cough,Proton Pump Inhibitor (Omeprazole)
Fever,Headache,Dizziness,Diarrhea,Paracetamol
Nausea,Dry skin,Dry cough,Runny nose,Cold-EEZE
Common cold,Toothache,Cough,Hangover,Dextromethorphan
Dry skin,Allergic rash,Cough,Hangover,Guaifenesin
Menstrual cramps,Nausea,Heartburn,Insomnia,Lavender oil
Hay fever,Menstrual cramps,Headache,Diarrhea,Cold-EEZE
Nausea,Insomnia,Heartburn,Hangover,Ginger supplements
Menstrual cramps,Acid reflux,Hay fever,Allergic rash,Bismuth subsalicylate
Dry cough,Toothache,Dizziness,Hangover,Cold-EEZE
Dizziness,Headache,Fever,Runny nose,Cold-EEZE
Dry cough,Insomnia,Allergic rash,Common cold,Ibuprofen
Allergic rash,Toothache,Hangover,Menstrual cramps,Hydrocortisone cream
Headache,Dizziness,Heartburn,Acid reflux,Ibuprofen
Common cold,Fever,Diarrhea,Headache,Loperamide
Muscle pain,Diarrhea,Toothache,Allergic rash,Orajel
Heartburn,Allergic rash,Sinus pressure,Fever,Paracetamol
Muscle pain,Dry cough,Dizziness,Nausea,Paracetamol
Muscle pain,Toothache,Cough,Acid reflux,Cold-EEZE
Dry cough,Insomnia,Cough,Fever,Valerian root
Acid reflux,Diarrhea,Toothache,Insomnia,Loperamide
Cough,Headache,Fever,Muscle pain,Dextromethorphan
Dizziness,Nausea,Hangover,Cough,Electrolyte solution (Pedialyte)
Toothache,Insomnia,Menstrual cramps,Fever,Aspirin
Dry skin,Allergic rash,Headache,Toothache,Cold-EEZE
Dry cough,Runny nose,Fever,Sinus pressure,Guaifenesin
Common cold,Hay fever,Diarrhea,Dry cough,Probiotic
Acid reflux,Headache,Runny nose,Sinus pressure,Ibuprofen
Muscle pain,Insomnia,Dizziness,Sinus pressure,Pseudoephedrine
Runny nose,Cough,Toothache,Sinus pressure,Cold-EEZE
Fever,Toothache,Dizziness,Menstrual cramps,Heating pad
Dry cough,Muscle pain,Toothache,Menstrual cramps,Heating pad
Insomnia,Dry skin,Muscle pain,Dry cough,Melatonin
Cough,Common cold,Allergic rash,Dizziness,Antihistamine (Claritin)
Dry cough,Sinus pressure,Heartburn,Menstrual cramps,Proton Pump Inhibitor (Omeprazole)
Muscle pain,Hay fever,Heartburn,Toothache,Antihistamine (Claritin)
Muscle pain,Cough,Menstrual cramps,Toothache,Guaifenesin
Common cold,Allergic rash,Acid reflux,Runny nose,Antacid (Tums)
Dry cough,Hangover,Nausea,Diarrhea,Dextromethorphan
Acid reflux,Dry cough,Diarrhea,Headache,Probiotic
Heartburn,Menstrual cramps,Dizziness,Runny nose,Pseudoephedrine
Muscle pain,Runny nose,Acid reflux,Common cold,Bismuth subsalicylate
Dry skin,Common cold,Menstrual cramps,Runny nose,Cold-EEZE
Dry cough,Sinus pressure,Runny nose,Acid reflux,Loratadine
Heartburn,Toothache,Fever,Allergic rash,Antihistamine (Claritin)
Acid reflux,Insomnia,Hangover,Sinus pressure,Valerian root
Fever,Dry cough,Dry skin,Sinus pressure,Electrolyte solution (Pedialyte)
Allergic rash,Acid reflux,Hangover,Cough,Cold-EEZE
Acid reflux,Headache,Toothache,Heartburn,Bismuth subsalicylate
Muscle pain,Acid reflux,Hangover,Dizziness,Electrolyte solution (Pedialyte)
Allergic rash,Runny nose,Nausea,Toothache,Cold-EEZE
Cough,Toothache,Headache,Common cold,Orajel
Nausea,Dry cough,Dizziness,Toothache,Cold-EEZE
Cough,Runny nose,Toothache,Dizziness,Pseudoephedrine
Toothache,Heartburn,Fever,Menstrual cramps,Proton Pump Inhibitor (Omeprazole)
Sinus pressure,Diarrhea,Nausea,Dry skin,Saline nasal spray
Nausea,Common cold,Hangover,Menstrual cramps,Ginger supplements
Hangover,Nausea,Hay fever,Acid reflux,Proton Pump Inhibitor (Omeprazole)
Acid reflux,Cough,Hay fever,Runny nose,Antihistamine (Claritin)
Hay fever,Runny nose,Common cold,Cough,Antihistamine (Benadryl)
Heartburn,Common cold,Menstrual cramps,Insomnia,Lavender oil
Dry skin,Common cold,Toothache,Allergic rash,Orajel
Menstrual cramps,Cough,Headache,Nausea,Cold-EEZE
Fever,Sinus pressure,Diarrhea,Hangover,Pseudoephedrine
Allergic rash,Hay fever,Dizziness,Dry skin,Antihistamine (Claritin)
Runny nose,Dry skin,Hangover,Sinus pressure,Petroleum jelly
Diarrhea,Headache,Menstrual cramps,Allergic rash,Heating pad
Acid reflux,Sinus pressure,Dry cough,Menstrual cramps,Dextromethorphan
Hangover,Nausea,Menstrual cramps,Dry cough,Ibuprofen
Heartburn,Insomnia,Menstrual cramps,Diarrhea,Probiotic
Diarrhea,Runny nose,Common cold,Hay fever,Pseudoephedrine
Dry cough,Muscle pain,Cough,Common cold,Honey
Insomnia,Menstrual cramps,Dry skin,Heartburn,Paracetamol
Hangover,Dizziness,Dry skin,Muscle pain,Ginkgo biloba
Allergic rash,Dizziness,Nausea,Common cold,Ibuprofen
Insomnia,Dry cough,Headache,Hay fever,Diphenhydramine
Allergic rash,Muscle pain,Hangover,Common cold,Cold-EEZE
Acid reflux,Hay fever,Fever,Toothache,Proton Pump Inhibitor (Omeprazole)
Fever,Hangover,Hay fever,Menstrual cramps,Cold-EEZE
Muscle pain,Heartburn,Insomnia,Acid reflux,Paracetamol
Dry cough,Diarrhea,Hay fever,Allergic rash,Loperamide
Sinus pressure,Muscle pain,Cough,Insomnia,Aspirin
Allergic rash,Hay fever,Muscle pain,Sinus pressure,Ibuprofen
Heartburn,Dizziness,Common cold,Dry cough,Antacid (Rolaids)
Muscle pain,Hangover,Dizziness,Diarrhea,Bismuth subsalicylate
Insomnia,Dry cough,Dry skin,Heartburn,Bismuth subsalicylate
